1,0,19.2105856218,0.1380488889,2.652,3,0,0,1,
2,0,30.8482291101,0.1714847222,5.29,3,0,0,1,
3,1,13.5601009376,0.0676986111,0.918,3,0,0,2,
4,1,19.7666790268,0.3895444444,7.7,3,0,0,2,
8,0,25.8074009209,0.1548005556,3.995,2,0,0,1,
10,2,1.3469133236,0.0066819444,0.009,2,0,0,1,
11,3,36.8507874006,0.2280005556,8.402,3,0,0,1,
12,1,17.4051312906,0.0387816667,0.675,3,0,0,2,
13,1,15.3954361397,0.5268444444,8.111,3,0,0,2,
14,1,8.9027294376,0.0030327778,0.027,2,0,0,2,
16,3,15.0413480247,0.2178661111,3.277,3,0,0,1,
17,3,14.4400981237,0.2681422222,3.872,3,0,0,1,
18,1,16.356732548,0.0770325,1.26,2,0,0,2,
19,1,17.5427999491,0.3338691667,5.857,2,0,0,2,
20,4,9.4518155724,0.2767722222,2.616,2,0,0,1,
21,4,9.4518155724,0.2767722222,2.616,2,0,0,1,
22,4,16.2635039491,0.4509483333,7.334,2,0,0,1,
23,4,21.2235944273,0.2897247222,6.149,3,0,0,1,
24,4,19.4236545403,0.2365672222,4.595,2,0,0,2,
25,4,20.7996291424,0.4254402778,8.849,3,0,0,2,
26,4,8.7243724169,1.9429477778,16.951,1,0,0,2,
27,4,8.7243724169,1.9429477778,16.951,1,0,0,2,
28,3,8.6861376422,0.5024097222,4.364,3,0,0,1,
30,3,54.9959473181,1.0140747222,55.77,3,0,0,1,
31,3,54.9959473181,1.0140747222,55.77,3,0,0,1,
33,1,12.6110448093,0.5790955556,7.303,2,0,0,2,
34,3,14.5342872001,0.0790544444,1.149,3,0,0,1,
35,3,10.2882266732,0.3184222222,3.276,3,0,0,1,
36,3,18.3281891367,0.1309458333,2.4,3,0,0,1,
37,1,17.1776350229,0.1660880556,2.853,3,0,0,1,
38,1,17.0978233675,0.1332333333,2.278,3,0,0,1,
39,1,32.5207021199,0.2037163889,6.625,3,0,0,1,
40,1,19.9348098734,0.3291227778,6.561,3,0,0,1,
41,1,21.5138017733,0.6572525,14.14,2,0,0,1,
42,1,27.5257702576,0.2923805556,8.048,3,0,0,1,
43,1,28.1045206791,0.2765747222,7.773,3,0,0,1,
44,3,22.3224624997,0.0825177778,1.842,3,0,0,1,
45,3,22.3224624997,0.0825177778,1.842,3,0,0,1,
46,3,32.3773039973,0.1661966667,5.381,3,0,0,1,
47,1,22.3779245188,0.3471725,7.769,2,0,0,1,
